...1,meanhighscores,percentmill,mytriggs,num_creatures1,num_creatures2,num_creatures3,players,creatureSum,TEC
103,2.454,0,3,0,0,25,0 0 25,25,75
104,8.7283,1.69,4,0,0,25,0 0 25,25,100
105,0.2627,0,1,0,0,26,0 0 26,26,26
106,0.7857,0,2,0,0,26,0 0 26,26,52
107,2.8293,0,3,0,0,26,0 0 26,26,78
108,9.7556,4.11,4,0,0,26,0 0 26,26,104
109,0.2713,0,1,0,0,27,0 0 27,27,27
110,0.8529,0,2,0,0,27,0 0 27,27,54
111,3.1151,0,3,0,0,27,0 0 27,27,81
112,12.5289,7.08,4,0,0,27,0 0 27,27,108
113,0.2785,0,1,0,0,28,0 0 28,28,28
114,0.8815,0,2,0,0,28,0 0 28,28,56
115,3.5798,0,3,0,0,28,0 0 28,28,84
116,14.7475,9.94,4,0,0,28,0 0 28,28,112
117,0.2916,0,1,0,0,29,0 0 29,29,29
118,0.9329,0,2,0,0,29,0 0 29,29,58
119,3.9849,0,3,0,0,29,0 0 29,29,87
120,17.1228,12.65,4,0,0,29,0 0 29,29,116
121,0.3047,0,1,0,0,30,0 0 30,30,30
122,1.0038,0,2,0,0,30,0 0 30,30,60
123,4.6843,0,3,0,0,30,0 0 30,30,90
124,20.0805,15.4,4,0,0,30,0 0 30,30,120
125,0.3128,0,1,0,0,31,0 0 31,31,31
126,1.1058,0,2,0,0,31,0 0 31,31,62
127,5.6168,0,3,0,0,31,0 0 31,31,93
128,23.1681,18.41,4,0,0,31,0 0 31,31,124
129,0.3245,0,1,0,0,32,0 0 32,32,32
130,1.1392,0,2,0,0,32,0 0 32,32,64
131,6.3844,0,3,0,0,32,0 0 32,32,96
132,25.655,20.62,4,0,0,32,0 0 32,32,128
133,0.3299,0,1,0,0,33,0 0 33,33,33
134,1.2157,0,2,0,0,33,0 0 33,33,66
135,7.7049,0.86,3,0,0,33,0 0 33,33,99
136,29.2514,23.63,4,0,0,33,0 0 33,33,132
137,0.3432,0,1,0,0,34,0 0 34,34,34
138,1.2775,0,2,0,0,34,0 0 34,34,68
139,9.2842,3.11,3,0,0,34,0 0 34,34,102
140,32.4145,26.15,4,0,0,34,0 0 34,34,136
141,0.3525,0,1,0,0,35,0 0 35,35,35
142,1.4057,0,2,0,0,35,0 0 35,35,70
143,11.0137,5.58,3,0,0,35,0 0 35,35,105
144,35.6525,28.81,4,0,0,35,0 0 35,35,140
145,0.3605,0,1,0,0,36,0 0 36,36,36
146,1.4487,0,2,0,0,36,0 0 36,36,72
147,13.27,8.31,3,0,0,36,0 0 36,36,108
148,38.7441,31.05,4,0,0,36,0 0 36,36,144
149,0.3735,0,1,0,0,37,0 0 37,37,37
150,1.6745,0,2,0,0,37,0 0 37,37,74
151,15.2418,10.62,3,0,0,37,0 0 37,37,111
152,41.2785,32.87,4,0,0,37,0 0 37,37,148
